"species","longitude","latitude","BIO_2","BIO_5","BIO_6","BIO_12","BIO_14","BIO_15","SR_RANGE","SR_HINGHQ","Cation_Exchange_Capacity","Organic_Carbon","pH"
"Spirodela polyrhiza",134.583333333333,34.25,7.2633752822876,30.4495792388916,1.60672271251678,1551,37,54.808219909668,11601,18601.333984375,32,127,55
"Spirodela polyrhiza",140.083333333333,37.5833333333334,8.40458297729492,26.0499992370605,-6.51175022125244,1418,69,39.4946250915527,12157,16973.666015625,40,237,52
"Spirodela polyrhiza",139.75,36.4166666666667,9.65406227111816,29.5830001831055,-2.92475008964539,1293,37,47.2128562927246,9632,16250.3330078125,26,160,61
"Spirodela polyrhiza",12.2499999999997,55.25,4.62921953201294,20.1898727416992,-1.05569624900818,592,31,18.8923835754395,18416,18994.333984375,31,143,66
"Spirodela polyrhiza",2.083333333333,41.4166666666667,8.93187141418457,28.3416042327881,4.25714302062988,635,27,29.7118473052979,17805,22826.333984375,20,35,74
"Spirodela polyrhiza",-63.7500000000003,45.75,10.0134439468384,24.2628498077393,-12.4302797317505,1206,80,12.4869365692139,16555,19529.666015625,35,182,46
"Spirodela polyrhiza",14.4166666666663,48.25,9.06035423278809,24.0069999694824,-4.49175024032593,759,44,31.0726413726807,16009,18373.333984375,29,90,64
"Spirodela polyrhiza",-6.916666666667,37.0833333333334,10.5615081787109,31.7809524536133,6.7142858505249,476,2,69.9560241699219,19854,26415.666015625,20,51,70
"Spirodela polyrhiza",139.083333333333,35.4166666666667,9.11550045013428,27.4790000915527,-2.87674999237061,1653,45,49.7910575866699,9566,16940.666015625,35,187,53
"Spirodela polyrhiza",10.9166666666663,53.5833333333334,7.59122896194458,22.0862503051758,-2.01300001144409,680,42,15.9162435531616,17209,18202,31,150,61
"Spirodela polyrhiza",131.083333333333,-12.4166666666666,10.3504724502563,34.4760322570801,16.8719081878662,1690,1,109.7685546875,4900,23228,14,25,56
"Spirodela polyrhiza",132.916666666666,33.4166666666667,7.21568775177002,26.2075004577637,-2.52975010871887,2284,65,53.3963661193848,10591,17948.333984375,37,187,50
"Spirodela polyrhiza",10.9166666666663,59.75,7.41789579391479,20.5587501525879,-6.91249990463257,816,39,26.979320526123,18541,18576.666015625,36,165,48
"Spirodela polyrhiza",133.75,33.75,6.98877096176147,26.2862491607666,-2.6342499256134,2151,55,54.0676116943359,10730,18092,42,195,51
"Spirodela polyrhiza",140.083333333333,40.25,7.07531452178955,27.7954177856445,-3.20053911209106,1467,86,22.5358867645264,13804,17502.666015625,41,271,53
"Spirodela polyrhiza",10.2499999999997,56.0833333333334,6.67072772979736,20.1137065887451,-3.77766489982605,616,32,21.9738922119141,17711,18419.666015625,30,144,62
"Spirodela polyrhiza",-99.5833333333337,50.75,11.7645206451416,24.1347503662109,-23.8320007324219,516,16,52.893367767334,18618,21000.333984375,39,149,65
"Spirodela polyrhiza",-113.916666666667,53.5833333333334,11.8920001983643,22.326000213623,-18.6102504730225,483,15,67.2868728637695,19659,21499.666015625,31,118,63
"Spirodela polyrhiza",-6.58333333333368,39.5833333333334,11.0566463470459,33.2327499389648,3.8215000629425,579,7,54.531867980957,21389,26286.333984375,11,36,62
"Spirodela polyrhiza",40.9166666666663,54.5833333333334,9.00164604187012,24.9939994812012,-13.7962503433228,545,26,30.9003925323486,19143,19557,43,174,61
"Spirodela polyrhiza",11.2499999999997,60.25,8.47697925567627,21.0289993286133,-9.69225025177002,788,40,25.1025161743164,18614,18524.333984375,34,170,49
"Spirodela polyrhiza",40.2499999999997,56.0833333333334,8.20318698883057,22.8937492370605,-12.9580001831055,600,26,32.9059295654297,19104,19178,39,180,58
"Spirodela polyrhiza",21.9166666666663,65.75,8.99380779266357,20.3518886566162,-15.877833366394,523,28,27.1436138153076,20006,18498.333984375,41,207,45
"Spirodela polyrhiza",120.75,23.75,6.09539556503296,28.1647491455078,11.2202501296997,2405,22,87.0250091552734,9128,19538,28,63,53
"Spirodela polyrhiza",-127.083333333334,54.75,10.6505002975464,21.3072490692139,-12.5867500305176,526,24,27.937084197998,18093,18845.666015625,42,218,58
"Spirodela polyrhiza",-120.083333333334,51.5833333333334,10.924708366394,23.4092502593994,-11.2985000610352,693,41,22.0038204193115,19596,20902.333984375,40,237,59
"Spirodela polyrhiza",-79.5833333333337,44.9166666666667,10.0611248016357,24.8837490081787,-14.3225002288818,1061,66,18.1615447998047,17674,20698,34,219,51
"Spirodela polyrhiza",30.2499999999997,0.4166666666667,11.0619792938232,27.9992504119873,15.1737499237061,1195,45,41.7961235046387,1537,16697.333984375,21,60,56
"Spirodela polyrhiza",25.9166666666663,59.0833333333334,8.19279193878174,22.713249206543,-8.80875015258789,669,33,33.6620063781738,19565,19266,42,150,61
"Spirodela polyrhiza",-66.0833333333337,45.75,9.95395851135254,24.3974990844727,-13.9002504348755,1136,78,11.313925743103,16186,19515.333984375,38,221,48
"Spirodela polyrhiza",98.9166666666663,26.9166666666667,9.6656665802002,20.0294990539551,-3.18249988555908,1165,16,62.6099090576172,5910,17618,39,188,57
"Spirodela polyrhiza",15.083333333333,55.0833333333334,5.18944072723389,20.4013023376465,-1.56514656543732,535,30,22.5176811218262,19319,19761.666015625,34,150,63
"Spirodela polyrhiza",132.75,32.75,7.32140493392944,29.1928100585938,2.33660125732422,2266,64,49.7132987976074,10381,18523.333984375,33,109,51
"Spirodela polyrhiza",5.74999999999966,51.9166666666667,8.07172870635986,22.6709995269775,-0.240000009536743,799,47,14.8563976287842,15983,17325,29,86,57
"Spirodela polyrhiza",-76.2500000000003,44.5833333333334,9.93843746185303,25.9289989471436,-14.2395000457764,954,62,14.1785192489624,16972,20278.333984375,29,190,60
"Spirodela polyrhiza",-100.916666666667,50.9166666666667,11.4284162521362,23.5422496795654,-24.576000213623,509,16,56.9411239624023,18786,21187.333984375,42,192,63
"Spirodela polyrhiza",-83.2500000000003,9.58333333333337,9.52404117584229,26.1192493438721,14.2840003967285,3239,125,29.4215717315674,4635,20361,32,80,51
"Spirodela polyrhiza",13.4166666666663,55.4166666666667,6.4301929473877,20.8489856719971,-2.36115956306458,670,38,21.9743976593018,18785,19319.333984375,30,120,66
"Spirodela polyrhiza",-79.5833333333337,0.4166666666667,7.72664546966553,29.3892498016357,19.8234996795654,1944,46,71.4085159301758,3088,13671,26,40,55
"Spirodela polyrhiza",11.583333333333,52.0833333333334,8.59960460662842,23.9732494354248,-2.34325003623962,506,29,22.5650367736816,17048,18209.666015625,26,81,69
"Spirodela polyrhiza",132.583333333333,-12.75,11.1420631408691,36.1059989929199,16.9787502288818,1512,1,112.287391662598,5445,23534.666015625,17,21,59
"Spirodela polyrhiza",-76.7500000000003,45.75,11.5024795532227,26.15625,-18.2779998779297,870,52,15.089165687561,17257,20350.333984375,28,154,59
"Spirodela polyrhiza",89.583333333333,61.0833333333334,9.41683292388916,23.9955005645752,-27.2644996643066,583,23,32.8645362854004,19832,19924.333984375,58,170,48
"Spirodela polyrhiza",134.916666666666,-13.0833333333333,11.979395866394,36.3362503051758,16.3129997253418,1107,1,110.98136138916,5952,23481.666015625,10,9,62
"Spirodela polyrhiza",12.7499999999997,52.5833333333334,8.12858295440674,23.67799949646,-2.36975002288818,540,33,19.554235458374,17363,18424.333984375,31,121,60
"Spirodela polyrhiza",21.2499999999997,56.25,6.38118743896484,20.3740005493164,-5.2354998588562,749,28,36.1616973876953,20404,20040.666015625,30,173,57
"Spirodela polyrhiza",136.75,-12.0833333333333,6.83143949508667,33.009090423584,20.8363628387451,1299,4,100.834754943848,5632,22613,23,45,58
"Spirodela polyrhiza",131.416666666666,-12.75,11.9931669235229,36.0400009155273,15.6864995956421,1370,0,108.850700378418,5155,23443,14,13,58
"Spirodela polyrhiza",41.9166666666663,55.4166666666667,8.61979198455811,23.9699993133545,-13.9665002822876,573,25,32.7285995483398,19041,19411.666015625,40,164,60
"Spirodela polyrhiza",130.583333333333,-13.0833333333333,12.1459999084473,35.4782485961914,15.7329998016357,1743,0,104.604667663574,5178,23519.666015625,14,13,57
"Spirodela polyrhiza",140.916666666666,43.25,7.56369018554688,24.6269836425781,-7.81349229812622,1316,64,30.8153686523438,14063,17621.666015625,34,192,50
"Spirodela polyrhiza",89.2499999999997,61.75,9.9868745803833,23.7462501525879,-28.3237495422363,601,25,32.5374717712402,19751,19775.333984375,55,175,47
"Spirodela polyrhiza",140.25,37.0833333333334,8.92822933197021,27.2422504425049,-4.3600001335144,1294,33,53.0830192565918,10924,16956,33,199,56
"Spirodela polyrhiza",142.083333333333,48.4166666666667,6.56283903121948,19.8387565612793,-16.4344501495361,784,36,34.9572257995605,15541,18306,42,179,50
"Spirodela polyrhiza",106.25,22.75,7.53718757629395,30.2577495574951,9.55000019073486,1522,17,87.7554550170898,9555,18311.666015625,19,69,62
"Spirodela polyrhiza",-110.083333333334,54.5833333333334,10.4029169082642,21.5847511291504,-21.1797504425049,430,13,65.0846252441406,20054,21845,51,224,59
"Spirodela polyrhiza",10.083333333333,50.25,8.27770805358887,22.9340000152588,-2.73574995994568,736,48,14.976734161377,16422,18215,31,145,57
"Spirodela polyrhiza",-114.583333333334,53.25,12.3128957748413,21.8057498931885,-18.3934993743896,553,17,64.7666244506836,19572,21524.333984375,38,168,59
"Spirodela polyrhiza",133.083333333333,-14.9166666666666,13.7409582138062,37.4012489318848,13.2067499160767,870,1,114.246688842773,6174,24057.666015625,11,9,64
"Spirodela polyrhiza",9.24999999999966,50.75,8.25908374786377,22.2942504882812,-2.81625008583069,768,49,11.6981954574585,16376,18022.333984375,34,146,60
"Spirodela polyrhiza",22.583333333333,-18.9166666666666,14.3966455459595,33.4165000915527,8.42525005340576,462,0,106.889312744141,7008,22992.666015625,15,36,66
"Spirodela polyrhiza",130.75,-13.75,13.5924167633057,37.2200012207031,14.8559999465942,1373,1,114.794952392578,5709,23852.666015625,12,7,59
"Spirodela polyrhiza",-64.2500000000003,45.9166666666667,9.73222064971924,23.7138748168945,-12.6020946502686,1143,83,11.0231847763062,16559,19531.333984375,36,160,49
"Spirodela polyrhiza",10.2499999999997,57.0833333333334,6.87350988388062,20.1790943145752,-2.3801007270813,626,32,23.7079238891602,18157,18594.333984375,30,153,60
"Spirodela polyrhiza",140.25,36.0833333333334,8.54406261444092,28.8304996490479,-2.05075001716614,1348,40,42.6499176025391,9337,16380,26,168,58
"Spirodela polyrhiza",23.2499999999997,41.0833333333334,10.232250213623,29.9885005950928,-0.685500025749207,462,24,22.5017585754395,19113,22919,23,51,70
"Spirodela polyrhiza",22.4166666666663,-19.5833333333333,16.4101467132568,35.7065010070801,7.63649988174438,403,0,106.496307373047,7431,23636,8,1,71
"Spirodela polyrhiza",133.916666666666,35.0833333333334,9.05745792388916,29.8435001373291,-1.93099999427795,1583,52,49.6711883544922,11816,18103.333984375,30,160,53
"Spirodela polyrhiza",12.7499999999997,56.75,7.12265348434448,20.8489475250244,-3.38947367668152,827,45,23.210844039917,18609,19081.666015625,28,147,54
"Spirodela polyrhiza",98.9166666666663,25.75,10.5602712631226,25.0914993286133,2.55824995040894,1305,17,70.4671173095703,6118,18930.666015625,43,141,59
"Spirodela polyrhiza",-73.916666666667,45.0833333333334,10.0311670303345,26.0450000762939,-14.6227502822876,982,56,17.0484085083008,16803,19947.666015625,32,187,58
"Spirodela polyrhiza",-6.08333333333368,41.25,11.3049373626709,29.0620002746582,0.33950001001358,905,17,50.4406127929688,21727,25168,12,34,65
"Spirodela polyrhiza",-68.2500000000003,48.5833333333334,8.96950149536133,22.7577877044678,-16.9565582275391,945,60,13.5592498779297,16896,19595.666015625,38,192,53
"Spirodela polyrhiza",109.25,21.5833333333334,6.92731285095215,31.8442497253418,10.3944997787476,1666,26,75.3158721923828,9610,20110.333984375,12,113,59
"Spirodela polyrhiza",136.583333333333,36.5833333333334,7.86055994033813,30.3939647674561,-0.108189657330513,2071,135,19.6785068511963,12947,17424.333984375,27,182,58
"Spirodela polyrhiza",15.7499999999997,57.75,8.58447933197021,21.9347496032715,-5.81075000762939,631,32,28.7961730957031,19432,19378,39,175,45
"Spirodela polyrhiza",42.083333333333,56.25,8.52468776702881,23.2962493896484,-15.1462497711182,578,27,31.2072010040283,19141,19267,44,189,59
"Spirodela polyrhiza",0.583333333333002,40.75,10.2988538742065,30.5195007324219,5.15199995040894,547,14,40.2386283874512,18383,23501.666015625,19,31,76
"Spirodela polyrhiza",-96.2500000000003,50.9166666666667,11.300895690918,24.375,-24.5807495117188,525,16,53.6492691040039,18246,20777.333984375,52,212,57
"Spirodela polyrhiza",6.583333333333,49.75,7.84414577484131,23.1847496032715,-0.891749978065491,817,55,11.4221858978271,16965,18689,30,100,61
"Spirodela polyrhiza",128.75,-15.9166666666666,13.3610420227051,38.7545013427734,15.5682497024536,808,0,114.109382629395,7007,24916.333984375,14,10,68
"Spirodela polyrhiza",-68.916666666667,48.25,8.97093677520752,22.2664604187012,-17.9285717010498,1043,69,13.2953538894653,16659,19565,41,228,49
"Spirodela polyrhiza",-113.583333333334,53.25,12.1291666030884,22.3457508087158,-18.681999206543,496,15,67.9972839355469,19705,21579.333984375,31,111,65
"Spirodela polyrhiza",139.25,36.0833333333334,9.91554164886475,30.085750579834,-2.84450006484985,1262,33,54.325855255127,9456,16497.333984375,28,162,59
"Spirodela polyrhiza",8.91666666666632,55.25,6.87681245803833,20.6335010528564,-1.45624995231628,873,44,25.8832626342773,17060,17881.666015625,28,160,55
"Spirodela polyrhiza",133.916666666666,34.75,8.87587547302246,30.8754997253418,-0.703750014305115,1453,32,56.265625,11183,18168.333984375,25,149,57
"Spirodela polyrhiza",16.2499999999997,58.25,7.89375019073486,21.8087501525879,-5.71925020217896,602,32,27.130033493042,19686,19557,42,179,44
"Spirodela polyrhiza",-73.5833333333337,45.75,10.2709112167358,26.4039783477783,-16.4867382049561,982,57,16.8136425018311,16767,19959.666015625,30,172,60
"Spirodela polyrhiza",-2.916666666667,51.25,7.36693906784058,21.1680908203125,2.12286424636841,889,51,21.3961887359619,16942,18345.333984375,27,93,63
"Spirodela polyrhiza",25.2499999999997,63.5833333333334,8.092604637146,21.0260009765625,-12.78125,575,28,33.6641273498535,18810,18213.333984375,46,223,45
"Spirodela polyrhiza",140.916666666666,37.75,7.60167121887207,26.9614963531494,-2.20561504364014,1230,31,49.6083526611328,10834,16813,29,173,58
"Spirodela polyrhiza",134.916666666666,-12.4166666666666,9.91458320617676,34.3227500915527,17.7412490844727,1205,1,111.377853393555,5423,22941.333984375,12,22,59
"Spirodela polyrhiza",132.916666666666,-12.4166666666666,10.6616249084473,35.7174987792969,18.3120002746582,1536,1,115.110404968262,5400,23340,16,19,59
"Spirodela polyrhiza",27.9166666666663,59.25,7.52699995040894,21.9042491912842,-10.2867498397827,638,28,35.4139137268066,19502,19332.333984375,40,217,54
"Spirodela polyrhiza",130.583333333333,-12.9166666666666,11.4187707901001,34.872501373291,15.9147500991821,1761,0,103.943305969238,4933,23313.333984375,16,20,56
"Spirodela polyrhiza",-80.0833333333337,0.0833333333333712,8.0073127746582,30.3142852783203,19.9986400604248,1039,11,91.2500076293945,4048,14637,26,27,57
"Spirodela polyrhiza",-86.7500000000003,12.25,9.03357315063477,34.2538909912109,21.3593654632568,1428,1,107.215682983398,5457,23609,25,109,62
"Spirodela polyrhiza",140.25,35.25,7.46968793869019,28.5820007324219,0.00724999886006117,1733,68,35.6068534851074,9500,16873.666015625,25,130,52
"Spirodela polyrhiza",36.4166666666663,53.4166666666667,8.09856224060059,23.1377506256104,-12.2862501144409,625,33,28.4957370758057,18987,19478,42,155,61
"Spirodela polyrhiza",-122.416666666667,54.0833333333334,10.9470415115356,22.210750579834,-13.3787498474121,737,35,20.9278964996338,19279,20441.666015625,44,289,55
"Spirodela polyrhiza",16.083333333333,47.25,9.91031265258789,24.5642490386963,-4.87400007247925,767,30,39.2760963439941,17096,19561.333984375,26,63,57
"Spirodela polyrhiza",-95.416666666667,50.0833333333334,11.3510837554932,24.8719997406006,-24.6237506866455,608,16,55.7627868652344,17936,20536.666015625,48,221,49
"Spirodela polyrhiza",-75.0833333333337,45.25,10.7217082977295,26.5202503204346,-16.19700050354,1028,62,14.2369108200073,16909,20155,30,162,63
"Spirodela polyrhiza",-6.58333333333368,38.9166666666667,12.7465629577637,33.8050003051758,3.63074994087219,528,6,57.6688957214355,21259,26573.333984375,16,25,72
"Spirodela polyrhiza",132.916666666666,-12.5833333333333,10.9455623626709,35.9642486572266,18.1042499542236,1532,0,114.878936767578,5430,23377,16,13,60
"Spirodela polyrhiza",-1.25000000000034,43.5833333333334,8.95233345031738,24.7942504882812,4.17325019836426,1264,58,26.0292797088623,16311,19804.333984375,22,75,57
"Spirodela polyrhiza",5.24999999999966,46.9166666666667,8.47949981689453,25.24049949646,-0.122249998152256,922,58,14.0724639892578,18488,20270.666015625,22,63,64
"Spirodela polyrhiza",38.583333333333,53.9166666666667,8.55147933959961,24.2992496490479,-12.5555000305176,556,26,32.3470115661621,19161,19473,43,143,63
"Spirodela polyrhiza",121.583333333333,22.0833333333334,4.09920597076416,29.3238086700439,17.704761505127,2723,136,28.2577857971191,9444,19142.333984375,32,61,55
"Spirodela polyrhiza",73.2499999999997,34.4166666666667,12.8157911300659,34.6437492370605,1.81400001049042,1358,29,69.9921569824219,16207,22908.666015625,16,118,66
"Spirodela polyrhiza",131.583333333333,-14.75,13.2977294921875,37.2535018920898,14.2445001602173,963,0,118.693550109863,5999,24053.333984375,12,5,65
"Spirodela polyrhiza",10.9166666666663,48.0833333333334,8.40633296966553,22.0260009765625,-4.11749982833862,969,50,31.1129722595215,16048,18763.666015625,29,138,61
"Spirodela polyrhiza",-95.2500000000003,50.4166666666667,11.1476249694824,24.4589996337891,-24.4537506103516,594,17,54.3842086791992,17864,20489,47,213,48
"Spirodela polyrhiza",-122.916666666667,53.5833333333334,11.4903335571289,21.535249710083,-14.2344999313354,583,28,28.8373012542725,18833,20134.666015625,50,285,52
"Spirodela polyrhiza",-83.5833333333337,8.4166666666667,10.0924444198608,32.2106666564941,19.1159992218018,3215,42,61.2455253601074,4737,21008.333984375,32,93,54
"Spirodela polyrhiza",140.25,39.5833333333334,7.33331203460693,28.0007495880127,-3.79124999046326,1648,95,20.701229095459,13461,17339.666015625,41,255,52
"Spirodela polyrhiza",16.083333333333,56.4166666666667,6.8535623550415,20.9011459350586,-3.26335883140564,568,33,18.5334072113037,19792,19776,33,169,56
"Spirodela polyrhiza",-79.2500000000003,44.4166666666667,8.89654159545898,24.986499786377,-12.46875,927,56,14.6332092285156,17779,20895.333984375,32,177,59
"Spirodela polyrhiza",11.7499999999997,50.75,8.13856220245361,22.539249420166,-3.1085000038147,699,38,24.9312210083008,16135,17801.666015625,36,143,54
"Spirodela polyrhiza",38.583333333333,53.0833333333334,8.64410400390625,24.8560009002686,-12.4977502822876,570,28,31.2263011932373,18811,19457.333984375,38,139,65
"Spirodela polyrhiza",-97.2500000000003,50.25,11.4185419082642,25.0974998474121,-24.1297512054443,520,11,65.4759674072266,18374,20911.333984375,35,71,73
"Spirodela polyrhiza",24.583333333333,-20.5833333333333,16.5860843658447,36.6082496643066,8.12374973297119,358,0,105.681365966797,7862,23622.333984375,9,0,75
"Spirodela polyrhiza",25.4166666666663,65.25,7.7184476852417,19.9297714233398,-14.6707382202148,532,25,28.4259929656982,19368,18357.333984375,43,197,46
"Spirodela polyrhiza",153.083333333333,-26.75,10.2123689651489,29.5619487762451,9.47169780731201,1594,42,44.382251739502,12578,23597.333984375,21,31,57
"Spirodela polyrhiza",131.583333333333,-12.4166666666666,10.2098331451416,34.3564987182617,16.0772495269775,1525,0,105.738677978516,5055,23255.666015625,17,27,57
"Spirodela polyrhiza",33.7499999999997,44.4166666666667,7.69611120223999,25.0750007629395,-3.58666658401489,566,37,22.4450855255127,19112,21950.666015625,35,81,68
"Spirodela polyrhiza",140.583333333333,40.25,7.66504144668579,27.8659992218018,-5.38199996948242,1463,88,21.9111328125,13211,17330.333984375,39,235,52
"Spirodela polyrhiza",135.583333333333,34.5833333333334,9.35512447357178,32.5519981384277,0.964250028133392,1406,37,49.7116775512695,10448,17330.666015625,21,165,61
"Spirodela polyrhiza",-122.416666666667,37.75,9.49598693847656,22.7885723114014,6.33632659912109,783,2,92.0003662109375,19002,24369.666015625,25,61,65
"Spirodela polyrhiza",37.583333333333,55.9166666666667,7.55258369445801,22.6822509765625,-10.8327503204346,665,29,33.2508811950684,18864,19019.666015625,42,164,58
"Spirodela polyrhiza",-86.916666666667,31.4166666666667,13.3190622329712,32.7472496032715,2.3747501373291,1577,70,20.9296283721924,13499,22175.666015625,20,67,50
"Spirodela polyrhiza",-82.2500000000003,29.5833333333334,12.8339376449585,32.7492485046387,6.02600002288818,1316,59,43.8641700744629,13337,22422.333984375,21,137,50
"Spirodela polyrhiza",-76.916666666667,39.25,11.6919584274292,30.3255004882812,-5.05124998092651,1134,74,11.3614864349365,14824,20397,24,115,55
"Spirodela polyrhiza",-77.2500000000003,38.4166666666667,11.9909515380859,30.9879817962646,-3.60815453529358,1021,70,9.37818813323975,14685,20709.333984375,28,105,49
"Spirodela polyrhiza",34.4166666666663,53.25,7.56254148483276,22.4004993438721,-9.95450019836426,649,32,30.7159557342529,18710,19305.333984375,42,174,56
"Spirodela polyrhiza",21.4166666666663,55.4166666666667,6.65612506866455,21.3059997558594,-4.81675004959106,787,35,34.5488662719727,20044,19962.666015625,34,175,61
"Spirodela polyrhiza",-2.916666666667,53.4166666666667,7.09078693389893,20.4005546569824,1.33444440364838,783,48,20.3951377868652,16167,17453,28,117,59
"Spirodela polyrhiza",-82.5833333333337,41.9166666666667,7.92677116394043,27.0362510681152,-7.31575012207031,906,54,16.0533409118652,17332,20746,31,204,61
"Spirodela polyrhiza",4.583333333333,50.0833333333334,8.05281257629395,22.1065006256104,-0.804750025272369,832,60,8.79248237609863,16407,18080.666015625,34,138,53
"Spirodela polyrhiza",8.583333333333,50.0833333333334,8.28093719482422,24.753999710083,-0.886749982833862,620,40,14.5582132339478,16505,18263.666015625,28,72,64
"Spirodela polyrhiza",-123.583333333334,48.9166666666667,8.14504528045654,21.9448642730713,0.609189212322235,1085,24,66.3677444458008,18772,20059.666015625,50,253,54
"Spirodela polyrhiza",35.4166666666663,52.25,7.88127088546753,23.1784992218018,-9.97299957275391,641,34,28.0832080841064,18669,19476.666015625,40,157,59
"Spirodela polyrhiza",-81.0833333333337,41.4166666666667,10.8672714233398,27.1510009765625,-8.92074966430664,1063,57,16.6557216644287,16872,20364.666015625,37,184,58
"Spirodela polyrhiza",51.583333333333,55.5833333333334,8.73214626312256,24.8304996490479,-16.30299949646,545,25,30.694881439209,20085,20607,42,192,60
"Spirodela polyrhiza",43.583333333333,55.5833333333334,8.12327098846436,22.8379993438721,-15.4250001907349,510,23,37.3197326660156,18909,19400.333984375,42,178,56
"Spirodela polyrhiza",49.2499999999997,53.0833333333334,9.91933345794678,26.818000793457,-15.2177495956421,478,23,24.2399120330811,19758,20804.666015625,41,150,68
"Spirodela polyrhiza",-75.916666666667,42.0833333333334,10.9388542175293,26.8369998931885,-9.8457498550415,1012,63,14.1803770065308,16130,19875.333984375,40,193,55
