"species","longitude","latitude","BIO_2","BIO_5","BIO_6","BIO_12","BIO_14","BIO_15","SR_RANGE","SR_HINGHQ","Labile_inorganic_P","Organic_P"
"Spirodela polyrhiza",16.25,48.25,8.65807151794434,24.945333480835,-3.34286117553711,587.555541992188,29.5555553436279,31.4390525817871,17848.111328125,19727.740234375,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",14.75,57.25,7.90462255477905,20.7808055877686,-5.75080537796021,697.777770996094,38.6666679382324,21.2007007598877,19019,19165.22265625,26.7497978210449,164.682708740234
"Spirodela polyrhiza",10.25,47.75,8.76607227325439,20.9340553283691,-5.21816682815552,1368.55554199219,82.3333358764648,26.2998161315918,15974,18925.92578125,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",11.25,59.25,6.76585483551025,20.5020313262939,-5.31911706924438,810.333312988281,44.2222213745117,25.0692749023438,18784,18787.4453125,26.7497978210449,164.682708740234
"Spirodela polyrhiza",32.25,-27.25,11.93385887146,31.3143882751465,10.5828332901001,662,12.777777671814,60.369441986084,9716.22265625,21183.296875,19.7427825927734,67.5555267333984
"Spirodela polyrhiza",-6.75,42.25,9.64966487884521,24.4297218322754,-1.72338891029358,1150.11108398438,33.4444427490234,42.331974029541,19999.333984375,23341.185546875,59.9454154968262,197.251907348633
"Spirodela polyrhiza",24.75,60.75,8.38002777099609,21.604528427124,-10.9615278244019,631,32.4444427490234,31.1780166625977,19720.5546875,19224.07421875,30.0935192108154,185.26806640625
"Spirodela polyrhiza",35.75,53.75,7.69901180267334,22.3431663513184,-10.7717504501343,630.555541992188,32.2222213745117,30.7747821807861,18896.22265625,19376.740234375,19.7427825927734,67.5555267333984
"Spirodela polyrhiza",10.25,48.25,8.48176670074463,22.7450275421143,-3.86283349990845,903.111083984375,46.2222213745117,31.5733814239502,16173.77734375,18701.77734375,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",98.25,25.25,10.4249887466431,22.9632778167725,0.84763890504837,1561.77783203125,16.2222213745117,79.6776428222656,6430.5556640625,19408.814453125,52.3335456848145,73.8783416748047
"Spirodela polyrhiza",24.25,59.25,6.52380037307739,21.9098930358887,-7.37017917633057,660.333312988281,32.2222213745117,32.574104309082,20168.77734375,19701.482421875,14.3043403625488,51.0248336791992
"Spirodela polyrhiza",-62.75,46.25,8.47480487823486,22.8666477203369,-12.4780578613281,1209,83.5555572509766,15.4397611618042,16766.22265625,19510.666015625,17.7474613189697,109.260650634766
"Spirodela polyrhiza",13.25,54.25,7.20864820480347,21.6008796691895,-2.28163194656372,622,36.3333320617676,21.1844615936279,18146.4453125,18951.888671875,19.7427825927734,67.5555267333984
"Spirodela polyrhiza",9.75,47.75,7.93569898605347,22.2995834350586,-3.45808339118958,1204.11108398438,66.7777786254883,27.5424118041992,16384.111328125,18966.77734375,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",133.25,35.25,8.15467357635498,28.7296752929688,-1.80688488483429,1687.11108398438,86.6666641235352,37.0641403198242,11743.6669921875,17958.48046875,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",5.25,60.25,5.15359973907471,16.9033470153809,-0.516913652420044,2060.77783203125,91.1111145019531,31.7465152740479,17712.888671875,17740.77734375,21.7342071533203,133.804702758789
"Spirodela polyrhiza",130.75,-13.75,13.6062240600586,37.1632232666016,14.7299995422363,1369.44445800781,0.777777791023254,114.107162475586,5616.111328125,23809.703125,58.8752288818359,83.1131286621094
"Spirodela polyrhiza",-78.75,44.25,9.86193943023682,25.2292499542236,-13.3111667633057,926.777770996094,56.8888893127441,15.5590600967407,17498,20572.888671875,19.7427825927734,67.5555267333984
"Spirodela polyrhiza",134.75,34.25,7.11658573150635,30.3662090301514,1.65815222263336,1520.14282226562,39,52.6107292175293,11677.4287109375,18522,14.299955368042,54.2741050720215
"Spirodela polyrhiza",139.75,36.25,9.36283111572266,29.6925277709961,-2.37741661071777,1298.44445800781,34.8888893127441,48.5541038513184,9460.22265625,16242.4814453125,39.7714767456055,130.869049072266
"Spirodela polyrhiza",12.25,55.25,4.47747850418091,20.072021484375,-0.939507305622101,589.555541992188,30.6666660308838,19.2006168365479,18474.4453125,19042.4453125,19.7427825927734,67.5555267333984
"Spirodela polyrhiza",-63.75,45.75,9.87170886993408,23.9306049346924,-12.5175008773804,1224.11108398438,82,12.6055355072021,16551.666015625,19516,26.375732421875,90.2520370483398
"Spirodela polyrhiza",14.25,48.25,8.7209005355835,23.3107509613037,-4.60144424438477,876.888916015625,51.4444427490234,27.7482395172119,15728.5556640625,18173.185546875,39.7714767456055,130.869049072266
"Spirodela polyrhiza",-6.75,37.25,11.1527423858643,32.4013862609863,6.11063814163208,498.555541992188,2.33333325386047,67.5742874145508,19860.888671875,26353.814453125,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",10.75,53.75,7.47801446914673,21.9332084655762,-1.86326146125793,697.111083984375,41.3333320617676,16.1934108734131,17189.111328125,18187.1484375,17.7474613189697,109.260650634766
"Spirodela polyrhiza",131.25,-12.25,9.4972677230835,33.8753089904785,17.3430919647217,1611.66662597656,1,108.973388671875,5043.33349609375,23304.740234375,7.25971412658691,23.7575950622559
"Spirodela polyrhiza",132.75,33.25,7.63562822341919,28.4811897277832,-0.172731384634972,2117.88891601562,63.3333320617676,50.0445823669434,10650,18179.07421875,34.7212944030762,49.015438079834
"Spirodela polyrhiza",10.75,59.75,7.27427291870117,20.8611469268799,-6.547691822052,798.888916015625,38.4444427490234,27.1160106658936,18571.111328125,18619.37109375,30.0935192108154,185.26806640625
"Spirodela polyrhiza",133.75,33.75,7.15728425979614,27.2484703063965,-1.69631385803223,2105.22216796875,54.5555572509766,54.0569267272949,10714.5556640625,18145.408203125,52.3335456848145,73.8783416748047
"Spirodela polyrhiza",140.25,40.25,7.05121803283691,26.9481601715088,-4.71118831634521,1507.66662597656,90.2222213745117,22.5488166809082,13608.111328125,17359.962890625,34.7212944030762,49.015438079834
"Spirodela polyrhiza",10.25,56.25,7.10568571090698,20.2628784179688,-3.59280109405518,640.666687011719,34.6666679382324,21.9732704162598,17796,18453.740234375,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",-99.75,50.75,12.0140228271484,23.8172779083252,-24.6454448699951,510.333343505859,15.8888893127441,53.4486274719238,18570.77734375,20994.591796875,21.5375823974609,73.6969299316406
"Spirodela polyrhiza",-113.75,53.75,11.3510694503784,22.0303058624268,-19.3559455871582,477.111114501953,14.1111106872559,67.4738693237305,19666.111328125,21494.037109375,45.5482559204102,25.6855068206787
"Spirodela polyrhiza",-6.75,39.75,10.765305519104,32.3770294189453,4.31227779388428,616.111083984375,6.77777767181396,54.6489906311035,21439.666015625,26242.51953125,48.7056503295898,160.267181396484
"Spirodela polyrhiza",40.75,54.75,8.81762981414795,24.6443061828613,-13.6276111602783,558.222229003906,27,31.8292655944824,18958.4453125,19405.814453125,38.5881729125977,132.040344238281
"Spirodela polyrhiza",11.25,60.25,8.28043079376221,20.7366390228271,-9.55438899993896,785.555541992188,38.3333320617676,26.1536140441895,18609.666015625,18524.408203125,30.0935192108154,185.26806640625
"Spirodela polyrhiza",40.25,56.25,8.36315727233887,22.9312496185303,-13.3541107177734,599.888916015625,25.7777786254883,33.0562171936035,19104.333984375,19148.77734375,19.7427825927734,67.5555267333984
"Spirodela polyrhiza",21.75,65.75,8.91096973419189,20.3912448883057,-15.3490610122681,530.666687011719,28.6666660308838,27.5331859588623,19899.22265625,18396.333984375,30.0935192108154,185.26806640625
"Spirodela polyrhiza",120.75,23.75,6.33233785629272,27.4123611450195,10.20947265625,2290,25.3333339691162,83.5399627685547,9134,19468.40625,62.2089805603027,87.8193206787109
